cust_id,year,emp_length_int,home_ownership,home_ownership_cat,income_category,income_cat,loan_amount,loan_term,loan_term_cat,purpose,purpose_cat,interest_payments,interest_payment_cat,loan_condition,loan_condition_cat,interest_rate,grade,grade_cat,dti,total_pymnt,total_rec_prncp,recoveries,installment,Account No,Transation_Date,TRANSACTION DETAILS, WITHDRAWAL AMT , DEPOSIT AMT ,BALANCE AMT,Surname,CreditScore,Geography,EstimatedSalary,Taxrating_2019,Taxrating_2018,Taxrating_2017
1773,2011,10,RENT,1,Medium,2,20000, 60 months,2,debt_consolidation,6,High,2,Good Loan,0,15.27,C,3,18.63,23369.12,15066.11,0,478.64,409000001772,7-Jun-18,BBPS DT 07062018,"97,510.32",,719521.47,Giles,656,Germany,160835.30,1,1,1
1774,2011,9,RENT,1,Low,1,9000, 36 months,1,credit_card,1,High,2,Good Loan,0,16.77,D,4,16.74,11506.89964,9000,0,319.85,409000001773,8-Jun-18,BBPS DT 08062018,"25,366.64",,694154.83,O'Meara,640,Spain,24761.36,1,1,1
1775,2011,3,RENT,1,Low,1,9000, 36 months,1,debt_consolidation,6,Low,1,Good Loan,0,8.9,A,1,3.3,9257.86,9000,0,285.78,409000001774,11-Jun-18,FDRL/INTERNAL FUND TRANSFE,,300000.00,994154.83,Yao,439,France,138526.96,1,1,1
1776,2011,10,RENT,1,Low,1,6000, 36 months,1,debt_consolidation,6,Low,1,Good Loan,0,7.9,A,1,5.54,6723.887909,6000,0,187.75,409000001775,11-Jun-18,FDRL/INTERNAL FUND TRANSFE,,300000.00,1294154.83,Wallace,549,France,157442.75,1,1,1
1777,2011,9,MORTGAGE,3,Low,1,4000, 36 months,1,home_improvement,7,Low,1,Good Loan,0,6.62,A,1,10.48,4022.34,4000,0,122.82,409000001776,11-Jun-18,BBPS DT 09062018,"27,920.62",,1266234.21,T'ien,622,France,105295.77,1,1,1
1778,2011,10,MORTGAGE,3,Low,1,28200, 60 months,2,home_improvement,7,High,2,Good Loan,0,19.03,E,5,22.88,35833.45,20848.22,0,731.99,409000001777,11-Jun-18,BBPS DT 10062018,"8,112.82",,1258121.39,Ndubueze,715,France,97782.92,1,1,1
1779,2011,4,RENT,1,Low,1,21200, 60 months,2,debt_consolidation,6,High,2,Good Loan,0,18.25,D,4,23.25,30855.03719,21199.99,0,541.23,409000001778,11-Jun-18,BBPS DT 11062018,,82132.09,1340253.48,Chukwuraenye,657,France,68255.88,1,1,1
1780,2011,5,RENT,1,Medium,2,25000, 36 months,1,debt_consolidation,6,High,2,Good Loan,0,15.27,C,3,15.5,31120.26355,25000,0,869.95,409000001779,12-Jun-18,BBPS DT 12062018,"29,859.18",,1310394.30,K'ung,703,France,108790.95,1,1,1
1781,2011,7,RENT,1,Low,1,12000, 36 months,1,debt_consolidation,6,Low,1,Good Loan,0,11.71,B,2,4.67,14152.6919,12000,0,396.92,409000001780,13-Jun-18,BBPS DT 13062018,"16,905.35",,1293488.95,Stevenson,802,France,143706.18,1,1,1
1782,2011,6,MORTGAGE,3,Low,1,15000, 60 months,2,other,4,High,2,Good Loan,0,20.3,E,5,15.15,19543.51,10993.56,0,399.92,409000001781,14-Jun-18,BBPS DT 14062018,"39,815.49",,1253673.46,Marshall,793,Spain,148993.47,1,1,1
1783,2011,0.5,MORTGAGE,3,Low,1,17000, 36 months,1,home_improvement,7,Low,1,Good Loan,0,12.42,B,2,10.06,18956.75,17000,0,568.06,409000001782,15-Jun-18,BBPS DT 15062018,"30,196.44",,1223477.02,Hayward,554,France,95277.15,1,1,1
1784,2011,10,RENT,1,Low,1,20000, 36 months,1,other,4,Low,1,Good Loan,0,7.51,A,1,10.54,21616.32,20000,0,622.22,409000001783,18-Jun-18,BBPS DT 16062018,"12,958.25",,1210518.77,Tipton,533,Spain,152956.33,1,1,1
1785,2011,6.05,RENT,1,Low,1,5000, 60 months,2,credit_card,1,High,2,Bad Loan,1,16.77,D,4,7.39,614.6,274.86,0,123.65,409000001784,18-Jun-18,BBPS DT 17062018,,43963.21,1254481.98,Gibson,658,France,94925.62,1,1,1
1786,2011,6,RENT,1,Low,1,7700, 36 months,1,credit_card,1,Low,1,Good Loan,0,8.9,A,1,18.3,8800.303431,7700,0,244.5,409000001785,18-Jun-18,BBPS DT 18062018,,53656.53,1308138.51,Fraser,713,Germany,87308.18,1,1,1
1787,2011,4,RENT,1,Low,1,14000, 60 months,2,debt_consolidation,6,High,2,Good Loan,0,17.58,D,4,11.65,14998.24,14000,0,352.32,409000001786,19-Jun-18,BBPS DT 19062018,"180,907.04",,1127231.47,Fang,711,Spain,83978.86,1,1,1
1788,2011,0.5,RENT,1,Low,1,10000, 36 months,1,debt_consolidation,6,Low,1,Good Loan,0,12.42,B,2,8.55,11746.99695,10000,0,334.16,409000001787,20-Jun-18,BBPS DT 20062018,"146,123.98",,981107.49,Dubinina,669,France,37543.93,1,1,1
1789,2011,4,RENT,1,Low,1,6475, 36 months,1,debt_consolidation,6,Low,1,Good Loan,0,9.91,B,2,22.51,7492.767331,6475,0,208.66,409000001788,21-Jun-18,BBPS DT 21062018,"71,360.10",,909747.39,Morey,439,France,104889.30,1,1,1
1790,2011,10,RENT,1,Low,1,12000, 60 months,2,debt_consolidation,6,High,2,Bad Loan,1,19.91,E,5,14.38,11482.8,5130.25,1007,317.33,409000001789,22-Jun-18,BBPS DT 22062018,"34,623.77",,875123.62,Todd,763,Spain,149705.25,1,1,1
1791,2011,10,MORTGAGE,3,Low,1,12600, 60 months,2,debt_consolidation,6,High,2,Good Loan,0,19.03,E,5,12.67,15963.54,9292.47,0,327.06,409000001790,22-Jun-18,FDRL/INTERNAL FUND TRANSFE,,200000.00,1075123.62,Forbes,697,Germany,16445.79,1,1,1
1792,2011,9,MORTGAGE,3,Low,1,15600, 36 months,1,debt_consolidation,6,Low,1,Good Loan,0,6.03,A,1,18.49,16352.07,15600,0,474.8,409000001791,25-Jun-18,BBPS DT 23062018,"24,246.10",,1050877.52,De Salis,702,Spain,54689.16,1,1,1
1793,2011,3,RENT,1,Medium,2,25000, 36 months,1,debt_consolidation,6,High,2,Good Loan,0,15.96,C,3,8.21,31607.41415,25000.01,0,878.44,409000001792,25-Jun-18,BBPS DT 24062018,"26,719.16",,1024158.36,Barry,686,Spain,194913.86,1,1,1
1794,2011,10,MORTGAGE,3,Medium,2,14400, 36 months,1,credit_card,1,High,2,Good Loan,0,14.27,C,3,7.7,17657.74498,14400,0,494.05,409000001793,25-Jun-18,BBPS DT 25062018,,55573.29,1079731.65,Afamefuna,629,Spain,146371.72,1,1,1
1795,2011,2,MORTGAGE,3,High,3,25000, 36 months,1,car,2,Low,1,Good Loan,0,6.62,A,1,4.65,26420.12,25000,0,767.6,409000001794,26-Jun-18,BBPS DT 26062018,"48,110.56",,1031621.09,Ibbott,823,France,156603.70,1,1,1
1796,2011,10,MORTGAGE,3,Low,1,25000, 60 months,2,debt_consolidation,6,High,2,Good Loan,0,18.25,D,4,9.91,31246.95,18567.18,0,638.25,409000001795,27-Jun-18,BBPS DT 27062018,"63,907.21",,967713.88,Marshall,683,Germany,182566.76,1,1,1
1797,2011,9,RENT,1,Low,1,18000, 36 months,1,debt_consolidation,6,Low,1,Good Loan,0,7.9,A,1,23.13,20274.95379,18000,0,563.23,409000001796,28-Jun-18,BBPS DT 28062018,"23,085.44",,944628.44,Law,555,France,60194.05,1,1,1
1798,2011,6.05,MORTGAGE,3,Low,1,12000, 36 months,1,debt_consolidation,6,Low,1,Good Loan,0,6.62,A,1,12.53,13260.4136,12000,0,368.45,409000001797,28-Jun-18,FDRL/INTERNAL FUND TRANSFE,,200000.00,1144628.44,Pinto,647,Germany,36579.53,1,1,1
1799,2011,10,MORTGAGE,3,Low,1,4000, 36 months,1,debt_consolidation,6,Low,1,Good Loan,0,6.03,A,1,9.01,4378.65249,4000,0,121.75,409000001798,29-Jun-18,BBPS DT 29062018,"3,341.29",,1141287.15,Chinedum,714,France,5862.53,1,1,1
1800,2011,2,MORTGAGE,3,Low,1,30000, 60 months,2,debt_consolidation,6,High,2,Good Loan,0,18.64,E,5,15.58,42918.22939,30000,0,772.29,409000001799,30-Jun-18,BBPS DT 30062018,"12,252.00",,1129035.15,McKay,850,Spain,143030.09,1,1,1
1801,2011,6,MORTGAGE,3,Low,1,27700, 60 months,2,small_business,3,High,2,Good Loan,0,20.3,E,5,0.32,36158.36,20331.25,0,738.52,409000001800,2-Jul-18,BBPS DT 01072018,"22,571.88",,1106463.27,Otutodilinna,713,France,62700.08,1,1,1
1802,2011,10,RENT,1,Low,1,12000, 36 months,1,debt_consolidation,6,Low,1,Good Loan,0,7.51,A,1,11.91,13166.9,12000,0,373.33,409000001801,2-Jul-18,BBPS DT 02072018,,55900.40,1162363.67,She,452,France,99017.34,1,1,1
1803,2011,2,MORTGAGE,3,Low,1,10000, 36 months,1,medical,9,Low,1,Good Loan,0,7.51,A,1,13.08,10208.12,10000,0,311.11,409000001802,3-Jul-18,BBPS DT 03072018,,44892.38,1207256.05,Pai,683,Spain,187987.01,1,1,1
1804,2011,1,MORTGAGE,3,Medium,2,16000, 60 months,2,other,4,High,2,Bad Loan,1,22.35,F,6,21.16,10324.26,3313.54,1875.53,445.1,409000001803,4-Jul-18,BBPS DT 04072018,"6,904.87",,1200351.18,Kruglov,577,France,123454.62,1,1,1
1805,2011,2,MORTGAGE,3,Low,1,5000, 36 months,1,home_improvement,7,High,2,Good Loan,0,15.96,C,3,18.53,6322.075618,5000,0,175.69,409000001804,5-Jul-18,BBPS DT 05072018,,17198.35,1217549.53,Chin,552,France,10921.50,1,1,1
1806,2011,4,MORTGAGE,3,Medium,2,25000, 60 months,2,credit_card,1,High,2,Good Loan,0,24.11,G,7,8.3,31596.94,25000,0,720.8,409000001805,6-Jul-18,BBPS DT 06072018,"29,872.95",,1187676.58,King,769,Germany,53817.23,1,1,1
1807,2011,3,OWN,2,Low,1,8000, 36 months,1,credit_card,1,Low,1,Good Loan,0,8.9,A,1,14.75,9142.683196,8000,0,254.03,409000001806,7-Jul-18,BBPS DT 07072018,,12990.47,1200667.05,Hansen,691,France,81617.40,1,1,1
1808,2011,3,MORTGAGE,3,Low,1,17375, 36 months,1,home_improvement,7,High,2,Good Loan,0,14.27,C,3,19.15,21448.44032,17375,0,596.12,409000001807,9-Jul-18,BBPS DT 09072018,,67657.57,1268324.62,Ting,818,France,192298.84,1,1,1
1809,2011,3,RENT,1,Low,1,2500, 36 months,1,moving,10,Low,1,Good Loan,0,10.65,B,2,20.08,2996.48021,2500,0,81.44,409000001808,9-Jul-18,BBPS DT 08072018,"29,077.09",,1239247.53,Stone,739,France,143882.25,1,1,1
1810,2011,4,RENT,1,Low,1,15800, 60 months,2,debt_consolidation,6,High,2,Good Loan,0,18.25,D,4,13.1,19708.63,11715.16,0,403.37,409000001809,10-Jul-18,BBPS DT 10072018,"90,684.03",,1148563.50,McLean,639,France,53130.41,1,1,1
1811,2011,10,MORTGAGE,3,Low,1,6000, 36 months,1,debt_consolidation,6,Low,1,Good Loan,0,6.03,A,1,12.15,6285.4,6000,0,182.62,409000001810,11-Jul-18,BBPS DT 11072018,"66,435.79",,1082127.71,Zikoranachidimma,651,France,190454.04,1,1,1
1812,2011,7,MORTGAGE,3,High,3,35000, 36 months,1,house,12,Low,1,Good Loan,0,10.65,B,2,18.14,41037.5748,35000,0,1140.07,409000001811,12-Jul-18,BBPS DT 12072018,"121,795.12",,960332.59,Fu,779,France,111906.00,1,1,1
1813,2011,1,RENT,1,Low,1,15000, 36 months,1,debt_consolidation,6,High,2,Good Loan,0,16.77,D,4,16.45,19183.39395,15000,0,533.08,409000001812,13-Jul-18,BBPS DT 13072018,"41,636.56",,918696.03,Trevisano,850,Germany,113177.95,1,1,1
1814,2011,9,MORTGAGE,3,Low,1,18500, 36 months,1,debt_consolidation,6,Low,1,Good Loan,0,12.42,B,2,11.29,21857.61118,18500,0,618.19,409000001813,13-Jul-18,FDRL/INTERNAL FUND TRANSFE,,300000.00,1218696.03,Fallaci,829,France,30529.88,1,1,1
1815,2011,1,MORTGAGE,3,High,3,35000, 60 months,2,house,12,High,2,Good Loan,0,14.27,C,3,4.34,42852.57908,35000,0,819.3,409000001814,16-Jul-18,BBPS DT 14072018,"53,279.64",,1165416.39,Wiley,579,Germany,18800.13,1,1,1
1816,2011,0.5,MORTGAGE,3,Low,1,6000, 36 months,1,debt_consolidation,6,Low,1,Good Loan,0,10.65,B,2,8.1,6145.93,6000,0,195.44,409000001815,16-Jul-18,BBPS DT 15072018,,3521.67,1168938.06,Chiagoziem,510,France,46127.70,1,1,1
1817,2011,6,MORTGAGE,3,Low,1,15000, 36 months,1,debt_consolidation,6,Low,1,Good Loan,0,10.65,B,2,13.14,17589.48945,15000,0,488.6,409000001816,16-Jul-18,BBPS DT 16072018,,100682.10,1269620.16,Murray,531,France,75585.48,1,1,1
1818,2011,10,MORTGAGE,3,Medium,2,4800, 36 months,1,car,2,Low,1,Good Loan,0,12.42,B,2,9.64,5772.450725,4800,0,160.4,409000001817,17-Jul-18,BBPS DT 17072018,"100,369.80",,1169250.36,Chuang,628,Germany,63085.94,1,1,1
1819,2011,6,MORTGAGE,3,Low,1,18000, 60 months,2,debt_consolidation,6,High,2,Good Loan,0,19.42,E,5,13.07,23057.64,13275.4,0,471.1,409000001818,18-Jul-18,BBPS DT 18072018,"76,026.55",,1093223.81,Huang,633,Spain,74415.20,1,1,1
1820,2011,4,MORTGAGE,3,Low,1,20000, 36 months,1,home_improvement,7,Low,1,Good Loan,0,12.42,B,2,8.41,22950.36,19999.99,0,668.31,409000001819,19-Jul-18,BBPS DT 19072018,"30,494.01",,1062729.80,Chukwukere,714,Spain,139889.15,1,1,1
1821,2011,2,OWN,2,Low,1,29000, 60 months,2,debt_consolidation,6,Low,1,Good Loan,0,12.69,B,2,12.88,31620.34,29000.01,0,655.25,409000001820,20-Jul-18,BBPS DT 20072018,"90,799.39",,971930.41,Hsia,604,Spain,7267.25,1,1,1
1822,2011,6,RENT,1,Low,1,14125, 60 months,2,debt_consolidation,6,High,2,Good Loan,0,15.27,C,3,23.54,15168.95,14125,0,338.04,409000001821,21-Jul-18,BBPS DT 21072018,,21731.12,993661.53,Lee,630,Spain,186826.22,1,1,1
1823,2011,6,OWN,2,Low,1,17625, 60 months,2,debt_consolidation,6,High,2,Bad Loan,1,20.3,E,5,19.17,937.4,345.52,0,469.91,409000001822,23-Jul-18,BBPS DT 22072018,,33830.77,1027492.30,Theus,850,Spain,162149.07,1,1,1
1824,2011,2,RENT,1,Low,1,5000, 36 months,1,moving,10,Low,1,Good Loan,0,12.69,B,2,14.8,6034.083777,5000,0,167.73,409000001823,23-Jul-18,BBPS DT 23072018,,3260.67,1030752.97,Jennings,788,Germany,180150.49,1,1,1
1825,2011,8,RENT,1,Low,1,10000, 36 months,1,credit_card,1,Low,1,Good Loan,0,6.62,A,1,8.29,10844.15,10000,0,307.04,409000001824,23-Jul-18,BBPS DT 23072018,,49973.88,1080726.85,Parker,798,France,83478.12,1,1,1
1826,2011,10,MORTGAGE,3,Medium,2,10000, 36 months,1,small_business,3,Low,1,Good Loan,0,6.03,A,1,4.85,10956.34506,10000,0,304.36,409000001825,24-Jul-18,BBPS DT 24072018,,17711.45,1098438.30,Tan,770,Germany,26163.74,1,1,1
1827,2011,7,RENT,1,Low,1,13200, 60 months,2,credit_card,1,High,2,Good Loan,0,14.27,C,3,12.61,15107.29,10013.81,0,309,409000001826,25-Jul-18,BBPS DT 25072018,"97,234.02",,1001204.28,Barry,569,Germany,44381.06,1,1,1
1828,2011,0.5,MORTGAGE,3,Low,1,2400, 36 months,1,debt_consolidation,6,Low,1,Good Loan,0,11.71,B,2,1.6,2855.611293,2400,0,79.39,409000001827,26-Jul-18,BBPS DT 26072018,"22,302.35",,978901.93,Tuan,425,Spain,136365.00,1,1,1
1829,2011,6,MORTGAGE,3,Low,1,4000, 36 months,1,debt_consolidation,6,Low,1,Good Loan,0,7.9,A,1,9.75,4384.18,4000,0,125.17,409000001828,27-Jul-18,BBPS DT 27072018,,10227.38,989129.31,Patterson,547,Spain,99294.22,1,1,1
1830,2011,1,MORTGAGE,3,Low,1,12000, 36 months,1,debt_consolidation,6,Low,1,Good Loan,0,6.03,A,1,6.17,13147.47714,12000,0,365.23,409000001829,30-Jul-18,BBPS DT 28072018,,33190.68,1022319.99,Ofodile,725,Germany,173464.43,1,1,1
1831,2011,3,MORTGAGE,3,Low,1,24000, 60 months,2,credit_card,1,Low,1,Bad Loan,1,12.69,B,2,25.54,16810.68,10495.5,29.9,542.28,409000001830,30-Jul-18,BBPS DT 29072018,"4,625.14",,1017694.85,Chandler,506,France,127543.81,1,1,1
1832,2011,7,MORTGAGE,3,Low,1,4000, 60 months,2,debt_consolidation,6,High,2,Good Loan,0,19.03,E,5,7.2,5445.559176,4000,0,103.83,409000001831,30-Jul-18,BBPS DT 30072018,,71337.37,1089032.22,Nash,632,France,52526.65,1,1,1
1833,2011,6.05,MORTGAGE,3,Low,1,3200, 36 months,1,debt_consolidation,6,Low,1,Bad Loan,1,7.9,A,1,27.15,528.65,78.88,428.75,100.13,409000001832,31-Jul-18,BBPS DT 31072018,"29,089.53",,1059942.69,Atkinson,620,France,32589.45,1,1,1
1834,2011,6.05,RENT,1,Low,1,14000, 36 months,1,debt_consolidation,6,Low,1,Good Loan,0,11.71,B,2,14.94,16666.2024,14000,0,463.07,409000001833,1-Aug-18,BBPS DT 01082018,"30,347.75",,1029594.94,Brenan,663,Germany,47161.25,1,1,1
1835,2011,6,MORTGAGE,3,Low,1,10000, 36 months,1,debt_consolidation,6,High,2,Bad Loan,1,16.29,D,4,14.01,3291.06,1821.19,469.7,353.01,409000001834,2-Aug-18,BBPS DT 02082018,,20224.88,1049819.82,Obidimkpa,700,Spain,45424.13,1,1,1
1836,2011,3,RENT,1,Low,1,15000, 36 months,1,credit_card,1,Low,1,Good Loan,0,10.65,B,2,21.58,17572.27803,15000,0,488.6,409000001835,3-Aug-18,BBPS DT 03082018,"4,795.33",,1045024.49,Terry,696,Germany,8018.49,1,1,1
1837,2011,10,RENT,1,Low,1,10000, 36 months,1,other,4,Low,1,Good Loan,0,12.69,B,2,17.51,12070.94552,10000,0,335.45,409000001836,4-Aug-18,BBPS DT 04082018,"14,728.37",,1030296.12,Spring,767,Spain,195668.00,1,1,1
1838,2011,2,RENT,1,Low,1,1000, 36 months,1,debt_consolidation,6,High,2,Bad Loan,1,19.03,E,5,15.54,618,372.99,35.6,36.68,409000001837,6-Aug-18,BBPS DT 05082018,,62024.88,1092321.00,Mahmood,561,France,133167.11,1,1,1
1839,2011,3,MORTGAGE,3,Low,1,10075, 36 months,1,debt_consolidation,6,High,2,Good Loan,0,16.29,D,4,16.46,11510.27,10075,0,355.66,409000001838,6-Aug-18,BBPS DT 06082018,,66966.06,1159287.06,Campbell,350,Germany,123602.11,1,1,1
1840,2011,10,RENT,1,Low,1,19400, 60 months,2,small_business,3,High,2,Bad Loan,1,20.3,E,5,4.69,14420.39,5526.85,2008.24,517.23,409000001839,7-Aug-18,BBPS DT 07082018,"35,934.87",,1123352.19,Bellucci,706,France,186238.85,1,1,1
1841,2011,0.5,RENT,1,Low,1,22400, 36 months,1,debt_consolidation,6,Low,1,Good Loan,0,12.69,B,2,14.19,26355.29,22400,0,751.41,409000001840,8-Aug-18,BBPS DT 08082018,"10,667.64",,1112684.55,Amaechi,464,Spain,158668.87,1,1,1
1842,2011,4,RENT,1,Low,1,20000, 36 months,1,debt_consolidation,6,High,2,Good Loan,0,13.49,C,3,17.16,24396.02707,20000,0,678.61,409000001841,9-Aug-18,BBPS DT 09082018,,5322.89,1118007.44,Foxall,501,France,9249.36,1,1,1
1843,2011,3,MORTGAGE,3,High,3,35000, 60 months,2,debt_consolidation,6,High,2,Good Loan,0,17.27,D,4,5.65,48602.96599,35000,0,874.93,409000001842,10-Aug-18,BBPS DT 10082018,,10564.32,1128571.76,Bentley,745,Spain,116581.10,1,1,1
1844,2011,6,MORTGAGE,3,Low,1,25000, 60 months,2,credit_card,1,High,2,Good Loan,0,17.58,D,4,12.96,34484.34499,25000,0,629.14,409000001843,13-Aug-18,BBPS DT 11082018,,53362.07,1181933.83,Baird,587,France,44688.08,1,1,1
1845,2011,7,MORTGAGE,3,Medium,2,27000, 60 months,2,credit_card,1,Low,1,Good Loan,0,12.42,B,2,12.84,29699.97,20719.82,0,606.35,409000001844,13-Aug-18,BBPS DT 12082018,,151788.62,1333722.45,Howard,667,France,148608.39,1,1,1
1846,2011,4,RENT,1,Medium,2,35000, 60 months,2,debt_consolidation,6,High,2,Good Loan,0,22.74,G,7,16.94,37616.47,35000,0,981.45,409000001845,13-Aug-18,BBPS DT 13082018,,7164.58,1340887.03,Henry,737,France,188670.90,1,1,1
1847,2011,8,OWN,2,Low,1,15000, 36 months,1,other,4,Low,1,Good Loan,0,6.62,A,1,1.16,16158.8,15000,0,460.56,409000001846,14-Aug-18,BBPS DT 14082018,,6597.22,1347484.25,Sopuluchukwu,485,Spain,107067.37,1,1,1
1848,2011,4,MORTGAGE,3,Low,1,30000, 60 months,2,house,12,High,2,Good Loan,0,13.49,C,3,22.85,30338.69,30000,0,690.15,409000001847,16-Aug-18,BBPS DT 15082018,,30456.56,1377940.81,Rocher,590,Spain,61759.33,1,1,1
1849,2011,4,RENT,1,Low,1,22000, 60 months,2,debt_consolidation,6,High,2,Bad Loan,1,20.89,F,6,6.27,4280.04,1319.14,723.12,593.82,409000001848,16-Aug-18,BBPS DT 16082018,,156813.87,1534754.68,White,518,Germany,192776.64,1,1,1
1850,2011,2,MORTGAGE,3,Medium,2,21000, 60 months,2,debt_consolidation,6,High,2,Good Loan,0,16.77,D,4,13.69,30143.12448,21000,0,519.32,409000001849,17-Aug-18,BBPS DT 17082018,,94982.32,1629737.00,Komar,581,Spain,46735.19,1,1,1
1851,2011,10,RENT,1,Low,1,22500, 60 months,2,debt_consolidation,6,High,2,Good Loan,0,14.27,C,3,20.56,27607.2,22500,0,526.7,409000001850,18-Aug-18,BBPS DT 18082018,,77676.77,1707413.77,Russo,785,Germany,169117.74,1,1,1
1852,2011,10,MORTGAGE,3,Low,1,5000, 36 months,1,major_purchase,8,Low,1,Good Loan,0,7.51,A,1,12.37,5597.984331,5000,0,155.56,409000001851,20-Aug-18,BBPS DT 19082018,,54826.71,1762240.48,Loewenthal,799,France,89081.41,1,1,1
1853,2011,9,RENT,1,Low,1,9600, 36 months,1,small_business,3,Low,1,Good Loan,0,7.9,A,1,6.8,10812.60492,9600,0,300.39,409000001852,20-Aug-18,BBPS DT 20082018,,176705.41,1938945.89,Aliyeva,698,Spain,105227.86,1,1,1
1854,2011,7,RENT,1,Low,1,12000, 60 months,2,debt_consolidation,6,High,2,Good Loan,0,14.27,C,3,13.09,13740.25,9104.41,0,280.91,409000001853,21-Aug-18,BBPS DT 21082018,,39601.83,1978547.72,Montes,730,France,128246.81,1,1,1
1855,2011,10,RENT,1,Low,1,4500, 36 months,1,debt_consolidation,6,Low,1,Good Loan,0,6.03,A,1,10.99,4816.74,4500,0,136.96,409000001854,23-Aug-18,BBPS DT 22082018,,137436.94,2115984.66,Kuo,740,Germany,94554.74,1,1,1
1856,2011,0.5,MORTGAGE,3,Low,1,3000, 36 months,1,debt_consolidation,6,High,2,Good Loan,0,14.65,C,3,5.19,3723.649008,3000,0,103.49,409000001855,23-Aug-18,BBPS DT 23082018,,114273.52,2230258.18,Cheng,785,France,33823.50,1,1,1
1857,2011,6,MORTGAGE,3,Low,1,16100, 60 months,2,debt_consolidation,6,High,2,Good Loan,0,20.89,F,6,22.32,24098.89311,16100,0,434.57,409000001856,23-Aug-18,TRF TO  Indiaforensic SERVICES I,"1,000,000.00",,1230258.18,McIntosh,527,Spain,97468.44,1,1,1
1858,2011,10,MORTGAGE,3,Low,1,18200, 36 months,1,credit_card,1,High,2,Good Loan,0,18.25,D,4,10.07,23760.33477,18200,0,660.26,409000001857,24-Aug-18,BBPS DT 24082018,,65456.40,1295714.58,T'ao,544,France,164137.36,1,1,1
1859,2011,0.5,MORTGAGE,3,Low,1,35000, 60 months,2,debt_consolidation,6,High,2,Bad Loan,1,22.35,F,6,15.84,23897.68,3498.01,14170.08,973.64,409000001858,27-Aug-18,BBPS DT 25082018,,89601.49,1385316.07,Tyndall,705,France,191313.70,1,1,1
1860,2011,10,MORTGAGE,3,Low,1,15000, 36 months,1,debt_consolidation,6,Low,1,Good Loan,0,9.91,B,2,16.73,17359.32524,15000,0,483.38,409000001859,27-Aug-18,BBPS DT 26082018,,113986.27,1499302.34,Bailey,684,France,65257.57,1,1,1
1861,2011,2,MORTGAGE,3,Low,1,10000, 36 months,1,credit_card,1,Low,1,Good Loan,0,6.62,A,1,6.04,10648,10000,0,307.04,409000001860,27-Aug-18,BBPS DT 27082018,,137139.75,1636442.09,Onyekaozulu,639,Spain,178222.77,1,1,1
1862,2011,1,RENT,1,Low,1,8500, 36 months,1,debt_consolidation,6,Low,1,Good Loan,0,8.9,A,1,18.28,9607.211393,8500,0,269.91,409000001861,28-Aug-18,BBPS DT 28082018,,58964.84,1695406.93,Nwachukwu,565,Germany,179445.28,1,1,1
1863,2011,10,RENT,1,Low,1,1800, 36 months,1,medical,9,Low,1,Good Loan,0,11.71,B,2,15.33,2142.093054,1800,0,59.54,409000001862,29-Aug-18,BBPS DT 29082018,,71493.16,1766900.09,Romani,481,France,65500.53,1,1,1
1864,2011,9,RENT,1,Low,1,14000, 36 months,1,credit_card,1,Low,1,Good Loan,0,12.69,B,2,15.89,16765.91147,14000,0,469.63,409000001863,30-Aug-18,BBPS DT 30082018,"64,428.81",,1702471.28,Chin,731,Spain,97877.92,1,1,1
1865,2011,4,RENT,1,Low,1,3000, 36 months,1,car,2,High,2,Bad Loan,1,16.77,D,4,12.87,2772.12,2001.66,13.75,106.62,409000001864,31-Aug-18,BBPS DT 31082018,,8238.05,1710709.33,Bellucci,607,France,113051.57,1,1,1
1866,2011,10,RENT,1,Low,1,17200, 36 months,1,debt_consolidation,6,High,2,Good Loan,0,17.58,D,4,8.98,22243.74939,17200,0,618.21,409000001865,1-Sep-18,BBPS DT 01092018,,93996.73,1804706.06,Christmas,760,France,105969.05,1,1,1
1867,2011,1,RENT,1,Low,1,6000, 36 months,1,debt_consolidation,6,Low,1,Good Loan,0,9.91,B,2,11.57,6613.39,6000,0,193.35,409000001866,3-Sep-18,BBPS DT 02092018,,159127.05,1963833.11,Moore,559,France,122996.76,1,1,1
1868,2011,7,MORTGAGE,3,Low,1,16675, 60 months,2,car,2,Low,1,Good Loan,0,11.71,B,2,8.68,17467.85,16675,0,368.49,409000001867,3-Sep-18,BBPS DT 03092018,,233904.54,2197737.65,Genovesi,715,France,68087.15,1,1,1
1869,2011,10,RENT,1,Low,1,4000, 36 months,1,debt_consolidation,6,High,2,Good Loan,0,16.29,D,4,20.91,5042.825634,4000,0,141.21,409000001868,3-Sep-18,TRF TO  Indiaforensic SERVICES I,"1,000,000.00",,1197737.65,Cartwright,656,France,21478.36,1,1,1
1870,2011,10,MORTGAGE,3,Low,1,5250, 60 months,2,credit_card,1,High,2,Good Loan,0,17.58,D,4,23.45,6451,3905.27,0,132.12,409000001869,4-Sep-18,BBPS DT 04092018,,148802.00,1346539.65,Johnstone,652,Germany,158437.73,1,1,1
1871,2011,1,OWN,2,Low,1,2500, 60 months,2,car,2,Low,1,Good Loan,0,12.69,B,2,14.82,2761.51,1912.58,0,56.49,409000001870,5-Sep-18,BBPS DT 05092018,,79407.40,1425947.05,Warner,624,Spain,76551.70,1,1,1
